Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1981-12-14,0.061970122158527374,0.06282482977078625,0.061970122158527374,0.06282482977078625,25244800
1981-12-15,0.06367954611778259,0.06410690283560805,0.06367954611778259,0.06367954611778259,31315200
1981-12-16,0.06667182594537735,0.06709918288944905,0.06667182594537735,0.06667182594537735,65452800
1981-12-17,0.07222738862037659,0.07265474534165128,0.07222738862037659,0.07222738862037659,51452800
1981-12-18,0.07821113616228104,0.0786384873033827,0.07821113616228104,0.07821113616228104,71724800
1981-12-21,0.07479150593280792,0.07521886262038872,0.07479150593280792,0.07521886262038872,56403200
1981-12-22,0.07607361674308777,0.07650096798547303,0.07607361674308777,0.07607361674308777,53827200
1981-12-23,0.07436417788267136,0.0747915289958783,0.07436417788267136,0.0747915289958783,28896000
1981-12-24,0.07479150593280792,0.07521886262038872,0.07479150593280792,0.07479150593280792,28918400
1981-12-28,0.07137271016836166,0.07222741248095635,0.07137271016836166,0.07222741248095635,36579200
1981-12-29,0.07265475392341614,0.07350946176076678,0.07265475392341614,0.07265475392341614,24236800
1981-12-30,0.07564622908830643,0.07607358586337681,0.07564622908830643,0.07564622908830643,32188800
1981-12-31,0.07564622908830643,0.07607358586337681,0.07564622908830643,0.07564622908830643,54656000
1982-01-04,0.07521885633468628,0.07564620728040142,0.07521885633468628,0.07564620728040142,71254400
1982-01-05,0.07137271016836166,0.07222741248095635,0.07137271016836166,0.07222741248095635,35840000
1982-01-06,0.07051799446344376,0.07094534557316161,0.07051799446344376,0.07094534557316161,66080000
1982-01-07,0.06496162712574005,0.06581709969799394,0.06496162712574005,0.06581709969799394,70044800
1982-01-08,0.06795384734869003,0.06838119831163904,0.06795384734869003,0.06795384734869003,56604800
1982-01-11,0.06367954611778259,0.06410690283560805,0.06367954611778259,0.06410690283560805,33331200
1982-01-12,0.06154279783368111,0.061970148971639175,0.06154279783368111,0.061970148971639175,59920000
1982-01-13,0.06111539900302887,0.061542755553547136,0.06111539900302887,0.061542755553547136,41753600
1982-01-14,0.06410688906908035,0.06453423998898077,0.06410688906908035,0.06410688906908035,25715200
1982-01-15,0.06838121265172958,0.06923592046302031,0.06838121265172958,0.06838121265172958,46704000
1982-01-18,0.06966326385736465,0.07051797150468608,0.06966326385736465,0.06966326385736465,28000000
1982-01-19,0.06795384734869003,0.06880855498074166,0.06795384734869003,0.06880855498074166,55507200
